Comment,Sentiment
"For those who have not seen the original film on Shutter, it will leave a lasting impression.",2
I know this is technically a Deadpool 3 but marvel should start doing more duo movies,1
Any one noticed the Sanskrit text book that was shown in the opening shot what was it,1
All I see is the movie thats trying to hard to be something that its not the animation couldve been a lot better and they shouldve definitely chose better voice actors,0
Halle Berry is an awesome actress. I love all.her movies are very different and mysterious movie day one watch for me.,2
Calling it now that the daughter is the villan,1
This blows,0
Stupid movie. No desire to see it. Not sure why they are remaking this movie.,0
I have no idea what I just watched. Some somewhere around where ABBA music started it lost me.,0
Okay hallleeeee omg yes when is the release date :calendar: this looks like its gonna be :fire:,2
Ernie Hudson is channeled here. God bless the producers of this film and everyone involved.~:party_popper:He never gave up.,2
"Who are the people cutting these trailers? Neon is at the top of their trailer game, more so than A24. This looks sick, is the music just for the trailer or in the film?",2
Josh Hartnett was great as Ethan Chandler in Penny Dreadful. Had me wondering why he doesnt get more work. But Ive read it was intentional for life balance. Nice to see him in something new!! :movie_camera::popcorn:,2
"its not eddie murphy and martin laurences Life, but looks good",2
So this is exactly the original lion king story but instead of simba is mufasa. And will use the nostalgia trick to put emotions  on people. Floppity flop,0
Plot twist: the butcher got the money to attend this concert by being a serial killer,1
Wait...so where is all the sing singing. I saw a little dance dancing....,1
No doubt they will Hollywoodise the ending in this version,1
But the script shows Sanskrit???? Is not it. The novel is from Brazil? Wow Brazil India combo,1
"Im convinced M. Night is not from this world. His premises and characters are written from a perspective that has only observed and never experienced firsthand. Like hes always guessing what normal human interactions and situations are like. Hes always been like that, but his earlier films atleast had interesting subject matter, great actors who emoted very well, and even though it got weird, they still felt (somewhat) grounded in reality. Since The Happening released, his work has gradually gone off the rails, in terms of quality and longevity. Old was the last one I watched in full and while it was entertaining in a lets get drunk and make fun of this dumb movie way (atleast the first 3/4s), it made me feel like I lost brain cells. In short, M. Night movies are bad for your health and I think he is a negative force from out of this world who wants to degrade the intelligence of the species and plunge American cinema into an impoverished state of artistic destitution.",0
This is going to be amazingly dumb and I will love every second of it! Yes! No humans!,2
"Looks like it could be good but idk how I feel about it yet, need more context.",1
Are you guys going to make a series after the transformers one movie?,1
Story of b4 autobot n decepticon this is truly baddass :thumbs_up::thumbs_up::thumbs_up::thumbs_up:,0
Stop showing so much in trailers. I would have gone to see this without seeing any monsters,0
This years A24 Oscar juggernaut:smiling_face_with_smiling_eyes:,2
"Im guessing the girl is actually the serial killer, and hes been dragged into things by her.  The guy at the concession says that theyve been told that the Butcher is going to be there.  So somebody has told the police. It cant be the daughter telling on him; if she had told police, she would have actually said its her father.  More likely, the father has told them about the Butcher being there.  There are so many other young girls there that it is hard to tell which young girl it is.  The guy being held on the phone is somewhat of a mystery.  Im guessing they are showing him because the father is worried about his safety; not because he is holding him.  Its also possible the daughter has an accomplice (another girl) and she is watching the guy on the phone.Also interesting that Hayley Mills (yes, the young girl from the Parent Trap years ago) plays the role of a Doctor in the movie.  Where two girls swiitched places with one another.  Wonder if this is an easter egg of some type.Or maybe the Butcher is actually Lady Raven, and they cant arrest her safely until everyone is out.  And/or she is threatening to kill people at the concert.",1
"Do not watch this film if you dont like unhappy, uncomfortable endings. Probably read the Wikipedia plot of the original before watching this film.",1
Hopefully Blue Ivy can act better than her mom.,1
The prequel of the sequel that nobody asked for,0
"Dont get me wrong, this looks cool and all but I thought we were getting a serious (pre) war drama about the rise and fall of Megatrons and Orions relationship. The unlikely duo of a revolutionary gladiator and the idealistic scholar wanting better for Cybertron but falling apart due to their different methods of making that dream happen. I wanted serious character and relationship study, heartache and angst and broken bonds, not some grand adventure between a group of twenty somethings :loudly_crying_face::loudly_crying_face:",0
One of my friends at work told me that she would like to see Benedict cumberbatch in something dark and I showed her this trailer and said to her if this was dark enough for you and she said yes,2
Where is mila?,1
Some people would rather crash than slow down .. :hundred_points::fire::fire::fire::fire::fire:,2
"From the this trailer, at least, it doesnt like like some crappy CGI-fest The tornadoes actually look quite realistic",0
"Thats the different about real horror to forse you to scare(the trend nowdays), scenes that scares you because of you see and feel not scenes that scare you by surprising you.That scene on the bike probe my point.",2
TAKE MY F***ING MONEYYYY!!!!!,2
"Is it just me, or does the mum look like she could be related to Joshua Colley (Monty from dead boy detectives)? I thought it was him for a second there :face_with_tears_of_joy:",1
"These seats SLAP, Dad - line for 13 year old girl written by 44 year old man.",1
When they here for YOU :skull: they brought SWAT :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,2
Coleman Domingo deserves a comeback after the train wreck that was Fear the walking dead,2
"Hell Yeah, In Watching This No matter What ,",2
Its got to be a series to make it right! Cant wait!,2
Whats the story or point of this movie? the original has a good story and point with great actors. this just seems like a lazy play on nostalgia with some randoms caught in a twister for no reason.,0
This feels more like a bionicle movie,0
Our Marvel Saviors are here!,2
"Old Man Logan wasteland vibes?? Giant dead Ant-Man, Wolverine who let his whole world down, desert/mad max kinda vibe!",1
"Idc what anyone says, this looks promising and its animated even",2
"The movie looks awesome. Cant wait to watch It. The only thing I have to complain about, but its a minor one is the fact that the song theyre playing doesnt really fit the time period and the message of the song.",2
":crossed_fingers:please, please,  PLEASE be good!:crossed_fingers:",2
Another entry in the Caucasian family moves to a new home and does not believe their kid who says its haunted genre,0
Plot twist: the world never ended.,1
So its the Transformers becomes Power Rangers story? :face_with_tears_of_joy::red_heart:,2
Finally we have Batman back into the dark where it belongs…!,2
Wow this is sad…,0
The Wild 2006 is better than this.,0
I FEEL LIKE I HAVE SEEN THIS BEFORE?,0
"Please god, then this movie be good... :folded_hands_light_skin_tone:",2
Mad shes a dude,0
Austin Butler reminds me of a young val kilmer,1
I got to see this one,1
This is the one im going for :rolling_on_the_floor_laughing::hot_face::cold_face::smiling_face_with_sunglasses::exploding_head::angry_face_with_horns:,2
.  Oh no.  Oh please for the love of God… NO!   He does not need to be there!!,0
This looks like the movie Tethered,1
One of the greatest actors ever Halle berry!,2
bachale bhai bachale marvel ko,1
:waving_hand_medium_skin_tone: Hey Ms Berry :smiling_face_with_hearts:,2
No no no . How can you give it away in the trailer m night !!!! How can you !!!!!I dont care if he more up his sleeve . That scene would have been gold in the theater! Nooooo,0
"Thats why I prefer DC comics, rather than Marvels fairy tales!",2
Oscars 2025 contenderBest PictureBest Director (Greg Kwedar)Best Actor (Colman Domingo)Best Supporting Actor(s)        (Clarence Maclin) (Paul Raci)Best Adapted ScreenplayBest Original ScoreBest Cinematography,2
Danny Devito approves.,2
Hunter is not a good actor,0
Gosh. Maybe watch Starfish first.,1
Hugh got absolutely yoked!!! Ha!,2
"unfunny quipping punctuates every moment of this movie because we transformers fans are a bunch of geeks and we couldnt possibly want our stories taken seriously, right? thank you, normies, for showing us unenlightened dregs the light!",0
"I hate to be the guy who says read the book,...but read the book. Then you can easily see the characters being played are very real people.",1
Took 28 years for the sequel to be made. Wish it came out sooner.,2
There was an Alfred series and now this.....Im legit waiting for the batmobile movie now....fn Warner.....:face_with_tears_of_joy:,2
"That sound at , the same used in the original 1979 trailer, thats attention to detail and a great homage to the original one.",2
Its very much peak very fortunately,2
Its 2024 this the best they can do?:man_facepalming:Terrible...,0
This Sopranos sequel looks weird,0
The Danish movie Speak No Evil came out last year. What is this crap?,0
I NEED TO SEE THIS,2
"Decent watch, but God, Vincent (Benedict Cumberbatchs character) was insufferable.",0
Show us the whole film why dont ya ffs,0
This trailer goes so hard! :face_with_tears_of_joy:,2
you told the police that you were chased by a womanOh SO yoU jUsT asSuMeD tHeIR gENder????would be great if the next line was what is a woman?,0
The bikeriders sound like a bicycle gang made up of 10 year olds :face_with_tears_of_joy:,0
waiting in nepal :Nepal:,1
"I love how Dan Stevens could be a Hollywood leading man, and yet he continues to make bold decisions like this.  kudos!",2
Damon Herriman is going to be perfect for this movie,2
Austin getting more films now :fire:,2
I listened to this all day long,2
 can someone breakdown whos here,1
Hopefully this brings it back to basics and relies and suspense rather than whatever the hell Ridley Scott was trying to do with the last couple of movies.,0
Honestly one of the best trailers Ive seen in a while.  Genuinely not sure exactly what this movie is or how fantastical its going to be and I love that.,2
Finally!!!!,2
"Netflix, DO NOT mess this up.",0
Seems really original and well done. Will definitely see it,2
Lets f*cking go!!!,2
Wait was that Timon and Pumbaa?,1
Very good film,2
CGI looks cool but seriously nobody asked for this,0
this dude needs to do some voice acting i always liked his voice,2
Climate change gonna make this look like a documentary in a few years time.,1
The original Danish movie is epic. Not sure why theyre making this one.,0
Great trailer.  It provides the vibe and doesnt reveal the plot.,2
This gonna be gas:fire:,2
Well I am glad I dont need to watch the series now that I have seen this trailer which showed the entire show.,2
"This is a blend of - The Bird Box, A Quite Place and Arcadian",1
Disney dooming a brilliant filmmaker with a remake and/or franchise film…again,0
how is it that they managed to make it look even worse than the last one?,0
"It reminded me Caeser must die, a great italian movie.",1
Never Let Me Go to Quiet Place with my Bird Box because It Comes At Night.,1
I didnt make it through the first episode. I turned it off when the gay shit started.,0
Is this based off a true story,1
"since they already revealed the initial twist in the trailer, theres obviously going to be another twist in the movie. i bet its going to be that his daughter isnt actually his daughter, or maybe the daughter is working with the feds to successfully capture the dad",1
Fans who complain about the humor: Im gonna put some dirt in your eyeFans who forget optimus slam dunking on Gears in g1: I missed the part where thats my problem,1
"I predict the twist: The main character isnt the killer he thinks they are looking for, and he gets killed by the other guy.",1
Its funny how they put all these movies with a black lead character think as if they can be leaders:rolling_on_the_floor_laughing:,0
I do not get Penguin out of this.  It feels like another attempt at the Sopranos. I will give it a shot but it does not feel like a DC project other than using the name.,0
It didnt take long to make remake this time. The original came out what? 2 years ago?,1
"I would hate for a twist to be that this stadium is where Bruce Willis character in unbreakable worked at, and knew he would be there and helped the police to catch a serial killer. Obviously Bruce wouldnt be in this, but I could see this being in the m night universe.",0
I wish the reveal that he was the psycho killer wasnt in the trailer as it wouldve been a great plot twist to find out during the movie,0
This MUST be rated R.PRIORITY ONEALL OTHER PRIORITIES RESCINDED,1
The daughter is the real killer.,1
Only thing that make me remember thats collin Farrell is the smile,1
Oooo...creepy! :face_with_open_mouth:,2
they spoiled the whole f movie,0
Probably packed with LGBTQI++AI DEI ESG SS crap.,0
Benedict cummberbatch american accent fking sucks get a another job you wanker!:face_with_rolling_eyes::fire::middle_finger_medium-light_skin_tone::skull::skull_and_crossbones::pile_of_poo::smiling_face_with_horns::goblin::ogre:,0
"Hes the strong, silent type.",1
Im never gonna allow any of my kids to go to a Lady Raven concert... :face_with_open_mouth:,1
This is the best novel written in the history of mankind. There I said it. I cant wait to be disappointed by the adaptation.,2
Austin butler doing so much wheres the time :face_with_tears_of_joy:,2
MNIGHT ALWAYS MAKES THE MOST CREATIVE MOVIES!!!!!!,2
What?,0
The guy at  reminds me of Jim Gordon from Gotham.,1
"This kind reminds me of Transformers: Prime series, where they also explain their origin story a bit",1
Maybe theyll do a Penguin/Loki crossover!,2
I assume that its not a coincidence that this trailer was released on the 10th anniversary of García Márquezs death.,1
"Already is but this solidifies it, this is this Batman universes best villain.",2
His Penguin portrayal is spectacular. Lets Fking Gooooo!,2
"Welp, couldnt be any worse than Alien: Resurrection...",0
Its a very nice movie. Its amazing. The actors play very well:thumbs_up::thumbs_up:,2
Is this a sequel/prequel to tethered?,1
"So let me get this straight, the police will come out in full force with tactical teams and cameras installed everywhere to trap one white guy.  Yet in Chicago crime is overridden with gangs and criminals in the streets and these crimes are on camera yet the police cant do anything about it. Correct?",0
Ou nouu. To many jokes...:unamused_face: and I really dont like the faces..They look like humans...:smirking_face:,0
I CANT WAIT!!!!,2
So I guess I have to watch the latest Wolverine and Ant Man stuff because that looked sickkk!,2
still love the classic one plus the van halen soundtrack,2
The Suck Zone!!! :smiling_face_with_sunglasses:,2
My buddy Eric finally got a movie based on him,2
Looks good. Neon makes some good films. Is this based on the book?,2
RELEASE DATE?!?,2
Hopefully Meg was there to make the gravy,1
"I cant wait to see what Matt, Colin, and company cook up together",2
This is bad. Disney was doing so well before this. I hope they find a way to recover.,0
This makes the Michael Bay movies look like Oscar performances,0
"You FOOLS, Josh Hartnet already made his comeback. This is just a continuation of his career.",1
My baby Halle is back yessss I was waiting for her since John Wick 3:red_heart::red_heart::fire::fire::fire::fire::fire::fire::fire::fire::fire::fire::fire:,2
"As a viewer of the original movie, this trailer shows too much in my opinion",0
Disney probably ran out of idea so they just say lets make another lion king,0
This is total garbage.,0
Just put a nail in the coffin for any sons of anarchy movie.,0
"Why does Hollywoord have to absorb everything and pretend like its there big movie Idea. Always Happens with Spanish,French and Scandinavian Movies.",0
House of the dragon this summer along with the boys and penguin in the fall we are eating so good!,2
Wow. Love horror movies. Especially with psychos. Looking forward,2
A Remake of  a Horrible Movie,0
James Cameron as unofficial consultant and Ridley Scott. I personally loved the last Alien movie. Hoping this soft reboot will kick off a good series:smiling_face_with_smiling_eyes:,2
Am I the only one that first thought it was a Spanish Matthew McConaughey?!,1
Im ready!!,2
"This series will be only a pale sketch of how great and terribly gigantic the original novel is, but it will be a pleasure to see all the adventures of the Buendía family, which begins with a death and will end with the birth of the mythological monster with a pigs tail, with which the story would close. We will not see God in person, but at least the shadow of him.",2
Thanks for showing the entire movie in the trailer :thumbs_up:,0
Am i the only one still confused between Aurleianos and Arcadios:crying_face:.,0
"Bloke at work we call Mufasa, because just like the film, his uncle killed his dad.",1
The quality drop in animation is crazy,0
Lets go Tom Hardy Oscar win for supporting actor incoming,2
Why did they give it away,0
Good to see that Hangman found something beside flying that he likes.,2
You dont credit Norman reedus or Michael Shannon?,1
This is looking sick! :face_with_open_mouth:,2
Another one already?Boy they be timing.:beaming_face_with_smiling_eyes:,2
Shoulda been out months ago.,0
"This looks very fun, I cant wait",2
Smile. Wait for the flash.,2
"Hollywood is run by Disney, recycle everything in the past but with a little mire vfx.",0
 is that alioth from the Loki series ?,1
No Latinx or Latine here :Colombia::Puerto_Rico:,1
who asked for this?,0
Oh good another dei movie.,0
This looks boring as shit,0
"This looks good. Im very much not a Shyamalamadingdong fan, but this looks pretty good. Itll probably disappoint, and I wont learn my lesson with this director.",2
Loved the book. I hope there is justice in the movie.,2
Lol this is Toronto,1
I couldnt watch Love in the Time of Cholera and I likely wont be able to watch this either. I just loved both books so much…,0
Soon as I saw buddy that lost his mind in Candyman I knew it was gonna be good,2
Can we please have an original concept Hollywood?,0
I would watch The Penguin but I still havent watched The Batman after buying the DVD last year aka I am Vengence haha,2
I still feel bad about people who thinks Transformers are just machine talking and nothing else :face_with_steam_from_nose:,2
"Ridley Scott producer  ...of this?    Alien and Prometheus were sophisticated, excellent sci-fi cinema in their own ways (not to mention masterpiece BR).    This looks like a lowbrow student project in comparison.  When did Alien become a horror franchise???Maybe Ridley is behind on his taxes...?",0
Dan Stevens be working a lot lately :face_with_tears_of_joy:,1
Hope this works out well. My most favourite novel.,2
I have a question are Optimus prime and megatron going to fight in the movie ?,1
Prediction: There are 2 killers.,1
"The sound effects in this trailer make my spine crawl, no easy feat. Kudos",2
I like Alexandre Ajas work. But this comment is a trap.,1
EVERYTHING that A24 drops gets watched:hundred_points:,2
All I saw was questions. But that means Im still interested in where this shit is going. Bravo.,2
So its Sully but not the GOOD Sully . . . . . I dont have and refuse to have streaming but certainly looks intriguing.,0
Adrien Brody KISSED to Halle Berry without her permission in 0scar ceremony in 2003,1
Let comic movies die please. All the trailers throw in some song from back in the day with the same fight scenes over and over again. Let it die,0
"@ that hair looks soooo fake.  Will not watch, lol",0
No flying cow 0/10,0
Im I the only one who confused thats the ancient ones daughter...:thinking_face:,1
Im just gonna hope the characters arent written to be complete idiots and actually have survival instincts but the Xenos are written to be excellent hunters.,1
man madonna song gonna be on the top hits again lol,1
as i recall the last 3 !!!!! movies of ALIEN were........ TERRIBLE!!!!!! :face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting:,0
Song please,1
"What…..is this?A remake, or a prequel?",1
My biggest worry is A24 is pumping these out so much now the quality is gonna go down,0
God this one is gonna flop.,0
"This looks AMAZING!!! I LOLd when they fell. It looks to be a hilarious and fun movie so far, cant wait to see it in theaters!! Movie theaters are back baby :clapping_hands::clapping_hands::clapping_hands:",2
Zzzzzzzz :yawning_face: who asked for this?,0
"I love Colman, hes too cool",2
Its still Colin in the eyes. Thats what makes it so brilliant. The voice/accent is even more brilliant than the prosthetics. He has created a full character. And Im all here for it.,2
These people meet strangers then go visit them at their home? Yeah thats a bad idea,1
Ohh hell yea.,2
"IM SO EXCITED I LOVE IT, THT WAS LIKE THE LAST OF US",2
Is this a remake of the wild ones? Jw . Bc Hardy is acting just like Marlon Brando,1
Sooooo... is there even a plot?,0
Its bird box thinks?,1
I hope its as brutal S the original,1
James good guest. He did not climb on the walls and murder people.,1
how canon is this is? is it just a rebbot?,1
Saw this trailer before Immaculate and immediately became intrigued by it. Im so ready to watch Hunter Schafer eat up the screen!!,2
Has anyone watched ? Was that good? Movie review,1
I have absolutely no idea what this is about yet at the same time I already totally get what its about and this looks like its going to be fan-fucking-tastic,2
Disney - Best trolls on earth.,0
yo Micki Free aint no girl,1
This Looks more like for kids now I miss the old Franchise :crying_face:,0
"Jesus Christ MvAvoy,, Holy f#@# man,,, this shit is fire,,, well done sire..:smiling_face_with_smiling_eyes::smiling_face_with_smiling_eyes:",2
Does it look goofy? YesWill i got to theater to watch this masterpiece? YES!!,2
I have the book on my end table! Havent read it but hopefully when i get the chance I will! Also i hope the Netflix adaption does well too!:smiling_face_with_smiling_eyes:,2
this looks horrible,0
"Yes, exactly. Gotham DNA vibes with a soprano.",1
What. The. Flip.,0
A movie trailer has never gotten me genuinely in tears like this one did.,2
Let him cook,2
Great :red_heart:,2
Not me with tears in my eyes right before I go into a meeting,2
Oh bukan live action ya?,1
What need was there of remaking this movie? The original Dutch was already amazing and recent. Do americans really need to see everything in english? And also congrats on spoiling the entire movie in the trailer. Awesome stuff,0
Gabby Hoffmann!,2
Saw this trailer in theaters before seeing Late Night with the Devil and was automatically intrigued,2
Wow this looks wonderful. The score is beautiful. Who is the composer?,2
Anyone got the name of the song in the trailer??,1
"After what he did in Black Mirror, Im not surprised that he got this role.",1
He has to win something for this.,2
"Yayyy Im sure itll be great but can Ridley direct the next one, we just dont have that many years left with him and the franchise can always live on with someone he trusts why not get one more from the master himself",2
Im very intrigued,2
What language is that? ,1
"Black Hawk Down guy, iirc ?",1
Dan Stevens as the next 007,1
Do You Want to Build a Snow Man ? Yes ! But I cantt !! T__T,1
"September 27, 2024, release date. ~ Floki",1
I hope they do Remedios justice,1
Josh Harnett as the butcher? Thank you trailer!,2
This is how trailers ought to be.,2
Imagine if this is a fake out and the new film is simply Fassbender teaching space flutists how to finger their instruments correctly. For six hours.,1
Cant wait to see a whole herd of cows flying in the air when the sentient Tornados touch down,2
"Ive loved every movie and show, even the last knight. But this is so bad why do they look so human.",0
"its really a dream !! hope its brilliant like the book , but im really optimistic",2
Who is asking for this?,0
How nice of them to show the whole movie in the trailer. Now i dont have to watch it.,2
"As a theater major, this speaks to me already.",2
This one is going to be a banger :red_heart::red_heart::red_heart:,2
Dudes a beast this is the biggest Ive ever seen him.,2
Insane!!!!!!!!! Cant wait.,2
almost look likes an M. Night Shyamalan (whatever the f*ck you spell his name) movie.,1
Excited to see a new interpretation of the movie!,2
A rip off from Bird box and Quiet place with antiwhite cast. Hard pass! Garbage movie,0
"A24 might have another hit on its hands so weve had movies such as The Whale, Everything Everywhere All at Once and Moonlight all done very well at the Academy Awards and Im looking foreward to seeing Civil War what amazing production company theyve become in the years theyve been a production company",2
"Men will love it for the bikes, women will love for the cast.",2
Benedict is such a great actor. And the voices he can make.. damn!,2
"This I will watch, Heartbreaker helps a lot too....old times",2
Finally an original piece,2
MacAvoy again? Give me more please!,2
Remake of Danish film Speak no evil. Looks promising,2
That stylish walk never gets old :face_with_tears_of_joy:,2
At first I thought it was Russell Crowe,1
The movie is set in the 80s = stamp of success.,2
Looks like its based on alien isolation,1
I hope we see him with the mask on at least once,1
He wont win an Oscar for it though.,0
Please dont be yet another trash movie,0
The tone seems a bit off base.,0
"Soooooooo hes just not gonna wear a mask, orrrrrr.....",0
"Wolverine has been f**ked over so badly in the previous movies and tbh, I never have liked Deadpool. At least now, Wolverine finally has the original yellow and black. Why? Apparently remains to be seen. I mean.. Sony should be in charge of MCU, they have made the best movies. not dismay.  and a haha funny joke with cocaine... disney nowadays is in charge of childabuse and drugs with a position of being a... I really do not know what. Do they even publish new Donald Duck cartoons?",0
"I have watched the original a while ago and it was really dark and haunting. Looking forward to seeing this version, James portrayal seems to be very fitting, i really love his work. He is so versatile.",2
Im a little tired of gory killings when it doesnt really have to be. What it need are thrills like the old Alien franchises.,0
"That sound, that pulse rifle, looks like a great mix between Alien and Aliens, Cinema is back, baby!",2
"Disney, PLEASE STOP, WHY",0
